,G2700530005901,G2700530005902,G2700530006800,G2700530007700,G2700530007801,G2700530008100,G2700530008200,G2700530008300,G2700530008400,G2700530008500,G2700530009500,G2700530009600,G2700530010600,G2700530010700,G2700530011000,G2700530011703,G2700530021800,G2700530022000,G2700530022700,G2700530022801,G2700530022802,G2700530022901,G2700530022902,G2700530023000,G2700530023100,G2700530023600,G2700530103400,G2700530104100,G2700530104400,G2700530105100,G2700530105201,G2700530105204,G2700530105500,G2700530105600,G2700530105700,G2700530106000,G2700530106500,G2700530106600,G2700530106700,G2700530106900,G2700530107000,G2700530108000,G2700530108600,G2700530109100,G2700530109200,G2700530109300,G2700530109400,G2700530109700,G2700530109800,G2700530109900,G2700530110000,G2700530110800,G2700530110900,G2700530111200,G2700530111300,G2700530111400,G2700530111500,G2700530111600,G2700530125800,G2700530125900,G2700530126000,G2700530126102,G2700530126201,G2700530126202,G2700530126300
G2700530005901,0,40,1,1,4,0,1,3,6,4,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,1,12,0,0,9,3,4,14,48,1,1,2,3,0,0,0,0,0,1,0,3,0,1,0,0,9,1,0,0,0,0,9,8,8,12,3,1,1
G2700530005902,40,0,11,14,3,4,6,7,25,13,4,2,0,0,0,1,0,1,1,2,0,0,0,1,0,0,3,3,30,2,2,7,8,19,50,49,2,3,6,62,9,1,6,1,1,7,3,8,0,1,2,1,2,0,0,1,1,1,25,6,57,64,12,1,0
G2700530006800,1,11,0,26,5,13,12,4,4,7,0,1,0,0,0,0,2,2,5,1,1,2,1,4,0,0,3,2,13,4,4,9,11,31,13,1,4,5,84,22,26,7,0,9,3,2,2,1,1,3,0,1,1,0,2,2,1,1,6,2,17,16,15,1,3
G2700530007700,1,14,26,0,13,72,94,13,9,12,4,6,1,3,3,0,0,4,4,1,6,8,0,2,2,0,0,4,6,1,6,23,13,13,9,8,25,11,50,22,30,23,2,13,30,15,12,0,3,13,1,9,3,1,5,17,5,6,16,9,11,16,4,4,4
G2700530007801,4,3,5,13,0,2,15,6,8,0,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,0,1,2,1,5,8,3,0,2,3,14,14,0,4,3,2,7,1,1,0,5,3,2,3,1,1,1,2,0,3,0,16,3,3,0,3
G2700530008100,0,4,13,72,2,0,65,5,13,7,1,0,4,13,1,5,3,0,2,1,1,5,0,0,0,3,2,1,6,6,0,5,4,3,2,5,10,13,43,3,8,41,1,38,74,42,2,1,4,25,1,11,1,0,14,8,14,1,3,1,6,7,4,0,2
G2700530008200,1,6,12,94,15,65,0,21,13,2,3,1,1,4,1,3,1,3,1,0,1,2,0,1,0,0,1,0,4,5,1,2,7,2,5,4,3,1,19,14,13,7,4,6,32,102,14,2,1,16,3,6,6,0,3,3,10,2,4,5,9,5,3,0,1
G2700530008300,3,7,4,13,6,5,21,0,33,17,9,3,0,4,4,0,0,1,0,0,0,0,0,3,0,0,1,1,1,2,0,6,0,6,1,3,2,0,4,11,5,1,6,2,3,17,18,3,0,3,0,5,5,0,0,0,3,1,11,8,22,2,0,0,4
G2700530008400,6,25,4,9,8,13,13,33,0,58,55,16,0,5,5,2,0,0,1,0,1,0,1,0,0,2,0,3,4,0,3,1,3,1,1,15,1,1,4,15,3,4,30,3,7,10,28,4,1,5,18,6,19,0,1,2,0,5,23,9,32,8,0,1,1
G2700530008500,4,13,7,12,0,7,2,17,58,0,27,32,0,1,13,4,0,0,0,0,3,0,0,2,0,0,2,2,1,0,2,2,0,0,2,16,2,1,3,3,3,0,118,2,2,5,7,39,0,1,10,6,20,0,2,0,1,13,32,30,13,6,2,0,2
G2700530009500,1,4,0,4,2,1,3,9,55,27,0,34,0,0,11,4,0,2,0,1,0,1,0,0,0,1,1,1,0,0,2,2,3,0,0,4,0,0,3,0,3,0,4,1,1,2,31,5,0,6,39,3,40,0,0,2,1,6,4,4,7,1,2,0,0
G2700530009600,0,2,1,6,2,0,1,3,16,32,34,0,0,1,17,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,4,1,4,3,2,0,1,10,1,1,4,2,13,0,2,11,1,14,0,0,2,3,5,1,11,15,2,2,0,2
G2700530010600,0,0,0,1,0,4,1,0,0,0,0,0,0,5,0,2,0,5,0,2,0,7,2,3,6,8,0,0,2,1,2,1,4,0,0,0,0,0,2,0,0,0,0,20,2,2,0,1,14,17,1,0,0,9,26,21,4,0,0,1,0,3,4,1,0
G2700530010700,0,0,0,3,2,13,4,4,5,1,0,1,5,0,0,1,7,1,0,0,0,1,2,0,0,2,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,2,0,2,11,12,0,0,2,34,1,57,11,0,2,26,8,7,0,1,2,0,0,3,0
G2700530011000,1,0,0,3,0,1,1,4,5,13,11,17,0,0,0,36,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,3,0,0,5,2,0,0,0,1,0,13,0,0,2,5,12,0,0,12,15,59,0,0,5,6,28,1,7,4,1,0,0,0
G2700530011703,0,1,0,0,0,5,3,0,2,4,4,2,2,1,36,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,6,2,1,0,0,2,2,1,0,0,10,1,2,1,0,2,1,0,1,3,21,0,0,5,8,57,1,2,0,1,2,0,0
G2700530021800,0,0,2,0,0,3,1,0,0,0,0,0,0,7,0,2,0,5,6,4,0,3,2,0,1,1,1,4,0,1,0,0,5,1,0,0,9,0,4,1,0,0,0,2,0,0,1,0,1,0,0,1,0,1,2,0,0,1,1,0,0,2,1,0,0
G2700530022000,2,1,2,4,1,0,3,1,0,0,2,1,5,1,0,0,5,0,34,9,8,24,3,13,0,9,0,3,13,22,1,12,2,2,2,1,10,2,3,4,1,0,0,8,0,0,1,2,2,0,1,3,0,3,1,1,1,0,1,3,2,9,10,2,0
G2700530022700,0,1,5,4,0,2,1,0,1,0,0,0,0,0,0,0,6,34,0,38,20,18,6,45,0,2,0,2,1,4,0,0,0,0,1,0,7,0,1,0,0,4,0,11,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
G2700530022801,0,2,1,1,0,1,0,0,0,0,1,0,2,0,0,0,4,9,38,0,24,12,1,6,0,0,0,0,0,11,0,0,1,0,0,0,16,3,0,0,0,1,0,14,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0,2,2,0
G2700530022802,0,0,1,6,0,1,1,0,1,3,0,0,0,0,0,0,0,8,20,24,0,42,0,19,0,1,0,0,1,2,0,4,2,0,0,0,8,0,1,0,1,3,0,18,3,0,0,1,4,2,0,0,2,2,0,0,1,0,0,0,3,4,1,1,1
G2700530022901,0,0,2,8,0,5,2,0,0,0,1,1,7,1,0,0,3,24,18,12,42,0,37,66,14,29,0,3,1,4,0,3,2,2,1,1,12,3,2,0,3,3,0,39,3,2,1,1,15,3,1,1,3,2,4,1,1,1,2,4,3,3,2,1,1
G2700530022902,0,0,1,0,0,0,0,0,1,0,0,0,2,2,0,0,2,3,6,1,0,37,0,21,8,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,0,0,0,2,5,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1
G2700530023000,0,1,4,2,0,0,1,3,0,2,0,0,3,0,0,0,0,13,45,6,19,66,21,0,10,8,0,0,1,2,1,0,2,4,1,1,7,0,1,0,0,2,0,2,2,0,1,0,5,0,0,0,0,2,4,8,0,0,0,0,1,2,1,0,1
G2700530023100,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,14,8,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9,0,0,0,0,22,0,0,0,0,3,1,2,0,0,0,0,0,0,0,2,0
G2700530023600,0,0,0,0,1,3,0,0,2,0,1,0,8,2,0,2,1,9,2,0,1,29,4,8,13,0,0,1,2,0,0,1,0,0,1,0,2,0,0,0,0,0,1,16,0,1,0,0,12,3,0,0,0,33,11,3,2,0,0,1,0,2,0,2,0
G2700530103400,3,3,3,0,0,2,1,1,0,2,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,95,18,7,5,1,3,6,2,3,1,1,3,0,0,0,0,3,0,0,0,0,0,0,1,1,2,0,0,1,0,0,1,4,1,33,69,7,41
G2700530104100,1,3,2,4,0,1,0,1,3,2,1,0,0,0,0,0,4,3,2,0,0,3,0,0,0,1,95,0,8,34,2,8,8,5,1,0,9,0,2,3,0,1,0,2,3,1,1,0,2,2,0,0,2,0,0,0,2,0,2,1,2,13,24,4,7
G2700530104400,12,30,13,6,5,6,4,1,4,1,0,0,2,0,2,2,0,13,1,0,1,1,0,1,0,2,18,8,0,2,56,240,10,35,18,6,0,6,10,10,11,1,4,2,3,1,4,4,0,2,0,4,3,0,1,1,4,0,5,7,20,264,58,23,14
G2700530105100,0,2,4,1,0,6,5,2,0,0,0,0,1,0,0,0,1,22,4,11,2,4,0,2,0,0,7,34,2,0,2,1,21,4,1,1,28,0,9,5,0,4,1,15,1,2,0,0,4,1,0,1,1,0,0,0,0,0,2,4,6,7,3,1,2
G2700530105201,0,2,4,6,1,0,1,0,3,2,2,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,5,2,56,2,0,61,10,32,16,3,0,1,8,7,1,0,0,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,2,1,16,54,1,1
G2700530105204,9,7,9,23,2,5,2,6,1,2,2,0,1,0,0,0,0,12,0,0,4,3,0,0,0,1,1,8,240,1,61,0,7,85,57,7,5,1,10,11,5,3,0,0,1,1,0,0,2,3,0,1,0,0,0,0,0,0,3,2,4,37,19,5,10
G2700530105500,3,8,11,13,1,4,7,0,3,0,3,1,4,0,3,6,5,2,0,1,2,2,0,2,0,0,3,8,10,21,10,7,0,27,5,2,31,24,93,9,4,3,3,18,5,4,0,0,3,6,0,1,3,3,3,1,3,0,4,1,3,29,9,0,10
G2700530105600,4,19,31,13,5,3,2,6,1,0,0,0,0,0,0,2,1,2,0,0,0,2,0,4,0,0,6,5,35,4,32,85,27,0,85,0,2,2,46,27,6,0,0,2,3,0,0,0,0,4,0,0,1,3,1,0,0,2,0,8,7,25,45,3,1
G2700530105700,14,50,13,9,8,2,5,1,1,2,0,2,0,0,0,1,0,2,1,0,0,1,0,1,0,1,2,1,18,1,16,57,5,85,0,11,5,2,17,81,2,4,3,2,0,4,0,0,0,2,0,3,0,0,2,0,8,1,4,2,25,21,19,0,3
G2700530106000,48,49,1,8,3,5,4,3,15,16,4,4,0,0,5,0,0,1,0,0,0,1,0,1,0,0,3,0,6,1,3,7,2,0,11,0,1,1,1,11,0,2,16,0,1,1,6,8,0,1,5,0,8,0,0,0,0,5,33,68,16,19,12,2,3
G2700530106500,1,2,4,25,0,10,3,2,1,2,0,1,0,8,2,0,9,10,7,16,8,12,2,7,0,2,1,9,0,28,0,5,31,2,5,1,0,29,23,2,6,6,3,40,4,4,0,1,1,7,3,3,2,4,3,3,1,0,0,0,0,5,10,1,0
G2700530106600,1,3,5,11,2,13,1,0,1,1,0,4,0,0,0,2,0,2,0,3,0,3,0,0,0,0,1,0,6,0,1,1,24,2,2,1,29,0,37,1,2,7,2,11,0,5,0,0,0,2,0,1,0,4,5,2,1,0,0,0,2,4,3,1,0
G2700530106700,2,6,84,50,3,43,19,4,4,3,3,3,2,0,0,2,4,3,1,0,1,2,1,1,1,0,3,2,10,9,8,10,93,46,17,1,23,37,0,12,31,9,1,21,10,9,2,0,1,11,1,2,4,0,1,3,4,1,2,1,12,13,6,1,1
G2700530106900,3,62,22,22,14,3,14,11,15,3,0,2,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,3,10,5,7,11,9,27,81,11,2,1,12,0,18,5,3,3,2,10,3,2,1,4,0,2,0,0,0,0,2,3,3,12,27,15,6,2,2
G2700530107000,0,9,26,30,14,8,13,5,3,3,3,0,0,0,1,0,0,1,0,0,1,3,0,0,0,0,0,0,11,0,1,5,4,6,2,0,6,2,31,18,0,0,0,1,2,4,2,0,2,4,0,4,1,0,1,5,0,0,1,13,2,6,2,9,0
G2700530108000,0,1,7,23,0,41,7,1,4,0,0,1,0,2,0,0,0,0,4,1,3,3,0,2,1,0,0,1,1,4,0,3,3,0,4,2,6,7,9,5,0,0,0,33,19,15,1,2,3,14,0,2,0,1,3,2,0,0,3,0,0,7,2,1,2
G2700530108600,0,6,0,2,4,1,4,6,30,118,4,10,0,0,13,10,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,3,0,3,16,3,2,1,3,0,0,0,3,2,2,9,42,0,2,1,2,2,0,1,2,1,7,12,57,12,4,1,1,1
G2700530109100,0,1,9,13,3,38,6,2,3,2,1,1,20,2,0,1,2,8,11,14,18,39,4,2,9,16,3,2,2,15,2,0,18,2,2,0,40,11,21,3,1,33,3,0,14,7,0,0,26,31,4,5,1,3,9,1,2,3,4,2,4,5,3,1,6
G2700530109200,0,1,3,30,2,74,32,3,7,2,1,1,2,11,0,2,0,0,0,1,3,3,0,2,0,0,0,3,3,1,0,1,5,3,0,1,4,0,10,2,2,19,2,14,0,37,1,0,1,19,0,5,2,0,0,3,10,1,0,3,4,5,8,2,1
G2700530109300,1,7,2,15,7,42,102,17,10,5,2,4,2,12,2,1,0,0,1,0,0,2,0,0,0,1,0,1,1,2,0,1,4,0,4,1,4,5,9,10,4,15,2,7,37,0,11,0,2,36,8,24,11,1,6,2,9,3,1,0,9,3,1,2,2
G2700530109400,0,3,2,12,1,2,14,18,28,7,31,2,0,0,5,0,1,1,1,0,0,1,0,1,0,0,0,1,4,0,1,0,0,0,0,6,0,0,2,3,2,1,9,0,1,11,0,5,0,9,24,11,18,1,1,2,2,7,3,6,4,0,1,0,2
G2700530109700,3,8,1,0,1,1,2,3,4,39,5,13,1,0,12,2,0,2,0,0,1,1,2,0,0,0,0,0,4,0,3,0,0,0,0,8,1,0,0,2,0,2,42,0,0,0,5,0,0,0,3,1,3,0,0,0,0,4,11,7,3,7,0,5,0
G2700530109800,0,0,1,3,0,4,1,0,1,0,0,0,14,2,0,1,1,2,0,2,4,15,5,5,22,12,0,2,0,4,1,2,3,0,0,0,1,0,1,1,2,3,0,26,1,2,0,0,0,18,0,1,3,25,10,3,5,4,0,0,0,4,0,1,0
G2700530109900,1,1,3,13,5,25,16,3,5,1,6,2,17,34,0,0,0,0,1,0,2,3,0,0,0,3,0,2,2,1,0,3,6,4,2,1,7,2,11,4,4,14,2,31,19,36,9,0,18,0,18,53,13,5,31,16,10,0,1,3,3,4,0,2,2
G2700530110000,0,2,0,1,3,1,3,0,18,10,39,11,1,1,12,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,0,1,0,0,0,1,4,0,8,24,3,0,18,0,5,67,0,0,8,4,11,5,2,5,1,2,0,1
G2700530110800,0,1,1,9,2,11,6,5,6,6,3,1,0,57,15,3,1,3,0,0,0,1,2,0,0,0,1,0,4,1,0,1,1,0,3,0,3,1,2,2,4,2,2,5,5,24,11,1,1,53,5,0,41,1,3,29,20,6,3,1,0,1,1,1,0
G2700530110900,9,2,1,3,3,1,6,5,19,20,40,14,0,11,59,21,0,0,0,0,2,3,0,0,0,0,2,2,3,1,0,0,3,1,0,8,2,0,4,0,1,0,2,1,2,11,18,3,3,13,67,41,0,0,5,8,18,39,5,3,5,1,3,6,2
G2700530111200,1,0,0,1,1,0,0,0,0,0,0,0,9,0,0,0,1,3,1,3,2,2,0,2,3,33,0,0,0,0,0,0,3,3,0,0,4,4,0,0,0,1,0,3,0,1,1,0,25,5,0,1,0,0,15,9,10,1,0,0,0,3,0,3,1
G2700530111300,0,0,2,5,1,14,3,0,1,2,0,0,26,2,0,0,2,1,0,0,0,4,1,4,1,11,0,0,1,0,0,0,3,1,2,0,3,5,1,0,1,3,1,9,0,6,1,0,10,31,0,3,5,15,0,81,13,7,0,1,2,2,0,2,0
G2700530111400,0,1,2,17,1,8,3,0,2,0,2,2,21,26,5,5,0,1,1,0,0,1,0,8,2,3,1,0,1,0,0,0,1,0,0,0,3,2,3,0,5,2,2,1,3,2,2,0,3,16,8,29,8,9,81,0,151,23,0,0,0,2,1,1,0
G2700530111500,0,1,1,5,2,14,10,3,0,1,1,3,4,8,6,8,0,1,0,0,1,1,0,0,0,2,0,2,4,0,0,0,3,0,8,0,1,1,4,2,0,0,1,2,10,9,2,0,5,10,4,20,18,10,13,151,0,72,7,1,2,4,0,0,1
G2700530111600,0,1,1,6,0,1,2,1,5,13,6,5,0,7,28,57,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,1,3,0,0,7,3,1,3,7,4,4,0,11,6,39,1,7,23,72,0,1,2,4,0,4,0,1
G2700530125800,9,25,6,16,3,3,4,11,23,32,4,1,0,0,1,1,1,1,0,0,0,2,0,0,0,0,1,2,5,2,1,3,4,0,4,33,0,0,2,3,1,3,12,4,0,1,3,11,0,1,5,3,5,0,0,0,7,1,0,65,36,9,2,0,7
G2700530125900,8,6,2,9,0,1,5,8,9,30,4,11,1,1,7,2,0,3,0,0,0,4,0,0,0,1,4,1,7,4,2,2,1,8,2,68,0,0,1,12,13,0,57,2,3,0,6,7,0,3,2,1,3,0,1,0,1,2,65,0,26,9,6,1,5
G2700530126000,8,57,17,11,16,6,9,22,32,13,7,15,0,2,4,0,0,2,0,1,3,3,0,1,0,0,1,2,20,6,1,4,3,7,25,16,0,2,12,27,2,0,12,4,4,9,4,3,0,3,5,0,5,0,2,0,2,4,36,26,0,26,9,1,1
G2700530126102,12,64,16,16,3,7,5,2,8,6,1,2,3,0,1,1,2,9,1,0,4,3,1,2,0,2,33,13,264,7,16,37,29,25,21,19,5,4,13,15,6,7,4,5,5,3,0,7,4,4,1,1,1,3,2,2,4,0,9,9,26,0,118,114,15
G2700530126201,3,12,15,4,3,4,3,0,0,2,2,2,4,0,0,2,1,10,0,2,1,2,0,1,0,0,69,24,58,3,54,19,9,45,19,12,10,3,6,6,2,2,1,3,8,1,1,0,0,0,2,1,3,0,0,1,0,4,2,6,9,118,0,77,30
G2700530126202,1,1,1,4,0,0,0,0,1,0,0,0,1,3,0,0,0,2,0,2,1,1,0,0,2,2,7,4,23,1,1,5,0,3,0,2,1,1,1,2,9,1,1,1,2,2,0,5,1,2,0,1,6,3,2,1,0,0,0,1,1,114,77,0,9
G2700530126300,1,0,3,4,3,2,1,4,1,2,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,41,7,14,2,1,10,10,1,3,3,0,0,1,2,0,2,1,6,1,2,2,0,0,2,1,0,2,1,0,0,1,1,7,5,1,15,30,9,0
